Place,Rating,latitude,longitude
Bhagavathy Amman Temple,4.02173913,31.09823,-97.34278
Bhagirathi Park,5,19.0744333,72.8303675
Bhagshunath Temple,4.035714286,31.09823,-97.34278
Bhagsu Naag Temple,3.820512821,32.244276,76.3345604
Bhagsu Waterfall,4.20887338,32.2474746,76.3383494
Bhagsunath Temple,4.091176471,31.09823,-97.34278
Bhagwant Temple,4.2,31.09823,-97.34278
Bhagwat Vidyapith,4.590909091,23.0892382,72.5222394
Bhagwati Mandir,4.125,30.8745085,75.8587526
Bhagwati Temple,4.2,26.4533752,87.2852578
Bhainsrodgarh Wildlife Sanctuary,3.857142857,32.90874,-97.58419
Bhairamgarh Sanctuary,3,32.90874,-97.58419
Bhairav Nath Temple,4.142857143,30.7698288,79.4913032
Bhairava Temple,4.571428571,9.7749957,76.3410832
Bhairavakona,4.333333333,15.0884511,79.2022642
Bhairavnath Temple,4.615384615,16.6603965,74.2286317
Bhairi Caves,3.333333333,42.93117,2.97699
Bhairm Baba Temple,2,31.09823,-97.34278
Bhairo Baba Temple,3.526315789,31.09823,-97.34278
Bhaironath Temple,3.461538462,31.09823,-97.34278
Bhaja Caves,4.198380567,18.7289136,73.4813091
Bhaji Caves,3.9,42.93117,2.97699
Bhakra Dam,4,31.4115924,76.4326399
Bhaktavatsala Perumal Temple,4,13.1125898,80.0262894
Bhakti Dham Mandir,4.5,25.7702022,81.4935431
